LAT,LONG,OBJECTID,PROVINCE,DISTRICT,SECTOR,CELL,VILLAGE,NAME,TYPE,SOURCE,CAPTURE
-1.935166667,29.881666667,938,SOUTH,KAMONYI,RUKOMA,REMERA,GISENYI,E.P GISENYI,Primary,Ministry of education,2015
-1.956583333,29.917166667,939,SOUTH,KAMONYI,RUKOMA,BUGULI,BUGULI,E.P BUGULI,Primary,Ministry of education,2015
-1.907416666,29.858388889,940,SOUTH,KAMONYI,KAYENZI,BUGARAMA,NYARURAMA,ESPEKA,Secondary,Ministry of education,2015
-2.033944444,29.846916667,941,SOUTH,KAMONYI,MUSAMBIRA,KARENGERA,NYARUTOVU,ECOSE,Secondary,Ministry of education,2015
-2.0475,29.843805555,942,SOUTH,KAMONYI,MUSAMBIRA,KARENGERA,MBARE,E.S MUSAMBIRA,Secondary,Ministry of education,2015
-2.040166666,29.854833333,943,SOUTH,KAMONYI,MUSAMBIRA,BUHORO,GIHEMBE,E.S GIHEMBE,Secondary,Ministry of education,2015
-2.014611111,29.976083333,944,SOUTH,KAMONYI,RUGALIKA,KIGESE,BIKAMBA,G.S MASAKA,Secondary,Ministry of education,2015
-2.039277778,29.946361111,945,SOUTH,KAMONYI,RUGALIKA,BIHEMBE,RUTOVU,G.S RUGALIKA,Secondary,Ministry of education,2015
-1.991138889,29.945361111,946,SOUTH,KAMONYI,RUGALIKA,SHERI,GATOVU,G.S SHELI,Secondary,Ministry of education,2015
-1.942111111,29.963555556,947,SOUTH,KAMONYI,RUNDA,GIHARA,NYAGATARE,ECOLE SECONDAIRE MARIE ADELAIDE,Secondary,Ministry of education,2015
-1.971944444,29.938111111,948,SOUTH,KAMONYI,RUNDA,RUYENZI,RUBUMBA,ISETAR,Secondary,Ministry of education,2015
-2.108333333,29.945,949,SOUTH,KAMONYI,MUGINA,MBATI,KANSORO,E.S MBATI,Secondary,Ministry of education,2015
-2.109166666,29.940944445,950,SOUTH,KAMONYI,MUGINA,MBATI,KANSORO,COLLEGE NDINDABAHIZI ST IGNACE,Secondary,Ministry of education,2015
-1.969305556,29.799777778,951,SOUTH,KAMONYI,KAYUMBU,GIKO,MIREHE,E.S KAYUMBU,Secondary,Ministry of education,2015
-1.940361111,29.908,952,SOUTH,KAMONYI,RUKOMA,REMERA,KABANDE,G.S REMERA RUKOMA,Secondary,Ministry of education,2015
-2.01,29.905361111,953,SOUTH,KAMONYI,GACURABWENGE,NKINGO,KAMONYI,G.S ST JEAN BOSCO,Secondary,Ministry of education,2015
-2.009111111,29.905916667,954,SOUTH,KAMONYI,GACURABWENGE,NKINGO,KAMONYI,ECOLE ST BERNADETTE DE KAMONYI,Secondary,Ministry of education,2015
-1.969416667,29.882388889,955,SOUTH,KAMONYI,GACURABWENGE,GIHIRA,BUGABA,G.S ST ALOYS GACURABWENGE,Secondary,Ministry of education,2015
-2.010944445,29.9075,956,SOUTH,KAMONYI,GACURABWENGE,NKINGO,KAMONYI,ECOLE SECONDAIRE ROSA MYSTICA,Secondary,Ministry of education,2015
-2.0185,29.883666667,957,SOUTH,KAMONYI,GACURABWENGE,KIGEMBE,BUHORO,G.S GATIZO,Secondary,Ministry of education,2015
-1.950138889,29.830555555,958,SOUTH,KAMONYI,KARAMA,BUNYOGA,NYARUREMBO,G.S ST ATHENASE BUNYONGA,Secondary,Ministry of education,2015
-1.924527778,29.86875,959,SOUTH,KAMONYI,KARAMA,MUGANZA,NYAMITANGA,G.S ST KIZITO MUGANZA,Secondary,Ministry of education,2015
-1.926555556,29.835972222,960,SOUTH,KAMONYI,KARAMA,NYAMIREMBE,KIGABIRO,G.S ST AGATHE NYAMIREMBE,Secondary,Ministry of education,2015
-1.882611111,29.819666667,961,SOUTH,KAMONYI,KAYENZI,KIRWA,GITWA,G.S ST PAUL KIRWA,Secondary,Ministry of education,2015
-2.11325,29.968333334,962,SOUTH,KAMONYI,MUGINA,MUGINA,MUGINA,G.S ST ISIDORE MUGINA,Secondary,Ministry of education,2015
-2.081833333,29.813611111,963,SOUTH,KAMONYI,NYARUBAKA,RUYANZA,KANOMBE,G.S RUYANZA,Secondary,Ministry of education,2015
-1.881166666,29.933666666,964,SOUTH,KAMONYI,NGAMBA,KANBUGA,MUSENYI,G.S ST THERESE,Secondary,Ministry of education,2015
-1.877083333,29.893277777,965,SOUTH,KAMONYI,NGAMBA,MAREMBO,RUGARAMA,G.S ST JEAN DE LA CROIX NGAMBA,Secondary,Ministry of education,2015
-1.92025,29.848444444,966,SOUTH,KAMONYI,KAYENZI,BUGARAMA,REMERA,G.S BUBAZI,Secondary,Ministry of education,2015
-1.865416666,29.819666667,967,SOUTH,KAMONYI,KAYENZI,CUBI,NTWARI,G.S ST ANDRE NTWARI,Secondary,Ministry of education,2015
-2.011833333,29.821972222,968,SOUTH,KAMONYI,MUSAMBIRA,MPUSHI,GITWIKO,E.P ST FRANCOIS D'ASSISE MPUSHI,Secondary,Ministry of education,2015
-2.046694445,29.843027777,969,SOUTH,KAMONYI,MUSAMBIRA,KARENGERA,NYARUSANGE,JEAN DE PAEPE,Secondary,Ministry of education,2015
-2.025361111,29.854361111,970,SOUTH,KAMONYI,MUSAMBIRA,RUKAMBURA,BITSIBO,G.S BITSIBO,Secondary,Ministry of education,2015
-1.942194445,29.964,971,SOUTH,KAMONYI,RUNDA,NYAGATARE,NYAGATARE,G.S SAINT DOMINIQUE GIHARA,Secondary,Ministry of education,2015
-1.957444444,29.944805555,972,SOUTH,KAMONYI,RUNDA,KABAGESERA,KABAGESERA,G.S RUNDA-ISONGA,Secondary,Ministry of education,2015
-1.973166667,29.937305555,973,SOUTH,KAMONYI,RUNDA,RUYENZI,RUBUMBA,G.S RUYENZI,Secondary,Ministry of education,2015
-1.915083333,29.941611111,974,SOUTH,KAMONYI,RUNDA,KAGINA,GASHARARA,G.S GASHARARA,Secondary,Ministry of education,2015
-2.166611111,29.957944444,975,SOUTH,KAMONYI,MUGINA,KABUGANDO,BIHENGA,G.S KAVUMU,Secondary,Ministry of education,2015
-2.142,29.973222223,976,SOUTH,KAMONYI,MUGINA,JENDA,KIYONZA,G.S KIYONZA,Secondary,Ministry of education,2015
-1.961611112,29.818194445,977,SOUTH,KAMONYI,KAYUMBU,GASEKE,GASIZA,G.S KABERE,Secondary,Ministry of education,2015
-1.936305556,29.805944444,978,SOUTH,KAMONYI,KAYUMBU,MUYANGE,NYARUREMBO,G.S GIKO CATHOLIQUE,Secondary,Ministry of education,2015
-2.096972222,29.842472223,979,SOUTH,KAMONYI,NYARUBAKA,KIGUSA,RUGARAMA,G.S SAINT ALBERT NYARUBAKA,Secondary,Ministry of education,2015
-1.941333333,29.907694444,980,SOUTH,KAMONYI,RUKOMA,REMERA,KABANDE,G.S REMERA INDANGAMIRWA,Secondary,Ministry of education,2015
-1.919361111,29.898222223,981,SOUTH,KAMONYI,RUKOMA,GISHYESHYE,NYARUBUYE,G.S NYARUBUYE,Secondary,Ministry of education,2015
-1.918138889,29.933083333,982,SOUTH,KAMONYI,RUKOMA,BUGOBA,BUGOBA,G.S BUGORA,Secondary,Ministry of education,2015
-1.923805556,29.92225,983,SOUTH,KAMONYI,RUKOMA,MWIRUTE,NYARUSAVE,G.S NYARUSAVE,Secondary,Ministry of education,2015
-1.902638889,29.827527778,984,SOUTH,KAMONYI,KAYENZI,NYAMIRAMA,RUGARAGARA,G.S STMICHELNYAMIRAMA,Secondary,Ministry of education,2015
-2.051305556,29.877805556,985,SOUTH,KAMONYI,NYAMIYAGA,KABASHUMBA,RUBUMBA,G.S BUYE,Secondary,Ministry of education,2015
-2.165166667,29.332555555,986,WEST,KARONGI,RWANKUBA,BISESERO,JURWE,E.P BISESERO,Primary,Ministry of education,2015
-2.149333333,29.358111111,987,WEST,KARONGI,RWANKUBA,RUBAZO,NYARUYAGA,E.P KIZIBA,Primary,Ministry of education,2015
-2.132694444,29.354666666,988,WEST,KARONGI,RWANKUBA,NYARUSANGA,GASHARU,E.P UMIBANO,Primary,Ministry of education,2015
-2.163527778,29.361833334,989,WEST,KARONGI,RWANKUBA,GASATA,RUREBERO,E.P GASATA,Primary,Ministry of education,2015
-2.161944444,29.374166666,990,WEST,KARONGI,RWANKUBA,MUNINI,WINZIRA,E.P KARONGI B,Primary,Ministry of education,2015
